,city,lat,lon,temp_max,humidity,clouds,wind,country,description
85,antofagasta,-23.65,-70.4,59.0,82,40,13.87,CL,scattered clouds
86,nizhniy odes,63.64,54.86,34.72,98,100,7.9,RU,light rain
87,odemira,37.6,-8.64,59.0,10,41,1.99,PT,scattered clouds
88,esfahan,32.66,51.68,41.0,35,0,6.93,IR,clear sky
89,cooma,-36.23,149.13,53.6,76,90,6.93,AU,overcast clouds
90,kaeo,-35.1,173.78,72.0,72,60,5.01,NZ,broken clouds
91,coahuayana,18.73,-103.68,75.2,83,40,2.15,MX,scattered clouds
92,lavrentiya,65.58,-171.0,29.16,90,47,8.48,RU,scattered clouds
93,jinchang,38.5,102.17,40.98,68,100,7.25,CN,overcast clouds
94,mahibadhoo,3.78,72.97,82.56,75,35,11.18,MV,moderate rain
95,bambous virieux,-20.34,57.76,70.0,80,13,3.0,MU,few clouds
96,provideniya,64.38,-173.3,32.0,95,90,8.95,RU,light snow
97,la rioja,42.25,-2.5,51.01,93,90,6.35,ES,overcast clouds
98,batemans bay,-35.72,150.18,64.0,70,57,1.01,AU,broken clouds
99,khatanga,71.97,102.5,-6.48,90,35,9.89,RU,scattered clouds
100,vestmannaeyjar,63.44,-20.27,41.47,68,40,22.88,IS,scattered clouds
101,shingu,33.73,135.98,69.8,56,75,2.24,JP,broken clouds
102,kaitangata,-46.28,169.85,55.24,58,15,8.46,NZ,few clouds
103,bambanglipuro,-7.95,110.28,82.94,70,70,9.53,ID,broken clouds
104,ribeira grande,38.52,-28.7,62.76,61,100,4.09,PT,overcast clouds
105,mataura,-46.19,168.86,57.99,70,98,8.99,NZ,overcast clouds
106,bengkulu,-3.8,102.27,83.41,65,77,1.59,ID,broken clouds
107,halifax,44.65,-63.57,37.99,85,100,7.49,CA,overcast clouds
108,lamont,35.26,-118.91,69.8,21,1,8.05,US,clear sky
109,tasiilaq,65.61,-37.64,33.8,37,100,19.46,GL,overcast clouds
110,kuching,1.55,110.33,84.2,79,20,8.05,MY,few clouds
111,havoysund,71.0,24.66,32.0,76,100,9.17,NO,overcast clouds
112,saint george,37.1,-113.58,57.2,14,1,7.05,US,clear sky
113,ewa beach,21.32,-158.01,80.6,74,75,4.7,US,broken clouds
114,bilibino,68.05,166.44,6.1,91,100,1.74,RU,overcast clouds
115,ambovombe,-25.17,46.08,70.48,89,29,15.41,MG,scattered clouds
116,belaya gora,68.53,146.42,7.03,95,7,5.41,RU,clear sky
117,severo-kurilsk,50.68,156.12,45.39,77,2,5.23,RU,clear sky
118,alcaniz,41.05,-0.13,54.0,69,27,8.99,ES,scattered clouds
119,landeck,47.13,10.56,42.01,93,75,2.24,AT,broken clouds
120,qaanaaq,77.48,-69.36,12.79,81,93,13.38,GL,overcast clouds
121,nandi hills,0.11,35.18,54.61,97,99,4.16,KE,overcast clouds
122,lasa,46.62,10.7,39.99,100,57,2.46,IT,broken clouds
123,angoram,-4.06,144.07,88.57,67,84,0.27,PG,light rain
124,bakel,14.9,-12.46,77.16,19,6,1.54,SN,clear sky
125,guerrero negro,27.98,-114.06,64.58,32,0,18.07,MX,clear sky
126,abu samrah,35.3,37.18,69.67,22,90,3.98,SY,overcast clouds
127,palmer,42.16,-72.33,48.99,88,100,3.65,US,overcast clouds
128,castro,-24.79,-50.01,58.39,69,0,4.23,BR,clear sky
129,hovd,48.01,91.64,34.48,68,13,1.86,MN,few clouds
130,biltine,14.53,20.92,78.3,21,0,9.69,TD,clear sky
131,hithadhoo,-0.6,73.08,84.16,65,91,10.25,MV,overcast clouds
132,richards bay,-28.78,32.04,73.31,79,8,16.08,ZA,clear sky
133,saint-francois,46.42,3.91,53.6,81,75,6.93,FR,broken clouds
134,sturgis,41.8,-85.42,39.99,93,90,3.36,US,overcast clouds
135,thunder bay,48.4,-89.32,33.8,50,90,10.29,CA,overcast clouds
136,sola,-13.88,167.55,80.46,76,0,15.99,VU,clear sky
137,omsukchan,62.53,155.8,17.42,84,0,4.43,RU,clear sky
138,saskylakh,71.92,114.08,5.85,93,100,13.18,RU,light snow
139,tilichiki,60.47,166.1,26.98,88,7,9.64,RU,clear sky
140,souillac,-20.52,57.52,70.0,80,4,3.0,MU,clear sky
141,hamilton,39.18,-84.53,51.8,87,90,3.85,US,mist
142,vila velha,-20.33,-40.29,77.0,88,90,11.41,BR,overcast clouds
143,imbituva,-25.23,-50.6,59.04,74,0,3.11,BR,clear sky
144,niquero,20.04,-77.58,79.12,83,100,14.61,CU,overcast clouds
145,sinnamary,5.38,-52.95,80.08,81,31,9.42,GF,scattered clouds
146,torbay,47.67,-52.73,39.0,100,90,10.29,CA,light rain
147,kanniyakumari,8.08,77.57,81.66,72,65,4.38,IN,broken clouds
148,vaitape,-16.52,-151.75,80.53,81,98,18.84,PF,overcast clouds
149,saint-philippe,-21.36,55.77,69.8,64,0,4.7,RE,clear sky
150,aasiaat,68.71,-52.87,14.32,95,86,2.68,GL,overcast clouds
151,kamenka,51.32,42.77,33.31,84,1,10.58,RU,clear sky
152,oussouye,12.48,-16.55,79.32,74,0,4.72,SN,clear sky
153,yellowknife,62.46,-114.35,17.6,61,90,4.7,CA,light snow
154,kruisfontein,-34.0,24.73,57.99,96,34,6.73,ZA,scattered clouds
155,manggar,-2.88,108.27,84.11,71,82,7.52,ID,broken clouds
156,lamu,-2.27,40.9,77.56,85,33,9.17,KE,light rain
157,soe,-9.86,124.28,84.27,52,33,6.71,ID,scattered clouds
158,mount isa,-20.73,139.5,84.2,11,0,10.29,AU,clear sky
159,fortuna,40.6,-124.16,52.0,81,1,3.85,US,clear sky
160,mount gambier,-37.83,140.77,66.2,55,0,5.82,AU,clear sky
161,port elizabeth,-33.92,25.57,62.6,82,0,14.99,ZA,clear sky
162,atar,20.52,-13.05,81.68,23,21,10.42,MR,few clouds
163,nalut,30.33,10.85,54.43,93,83,9.42,LY,broken clouds
164,avarua,-21.21,-159.78,73.4,83,100,8.05,CK,light rain
165,carnarvon,-24.87,113.63,73.4,64,0,23.04,AU,clear sky
166,prizren,42.21,20.74,46.0,86,75,1.12,XK,fog
167,alice springs,-23.7,133.88,84.2,12,0,5.82,AU,clear sky
168,kilindoni,-7.91,39.67,78.04,85,8,11.16,TZ,light rain
169,dno,57.83,29.96,50.23,88,98,11.3,RU,overcast clouds
170,waldoboro,44.1,-69.38,42.8,52,90,5.82,US,overcast clouds
171,vardo,70.37,31.11,42.13,93,100,13.58,NO,overcast clouds
172,ambon,-3.7,128.18,84.61,68,47,5.19,ID,scattered clouds
173,beringovskiy,63.05,179.32,27.91,93,74,12.59,RU,broken clouds
174,tiksi,71.69,128.87,-3.17,90,1,13.18,RU,clear sky
175,fairbanks,64.84,-147.72,28.4,86,90,3.36,US,overcast clouds
176,gat,31.61,34.76,73.99,100,91,2.95,IL,overcast clouds
177,biharamulo,-2.63,31.31,62.96,90,92,0.38,TZ,light rain
178,viedma,-40.81,-63.0,53.01,63,2,1.99,AR,clear sky
179,road town,18.42,-64.62,80.01,89,8,4.0,VG,clear sky
180,cabedelo,-6.98,-34.83,77.0,88,20,5.82,BR,few clouds
181,alofi,-19.06,-169.92,77.0,73,75,21.92,NU,broken clouds
182,taltal,-25.4,-70.48,57.13,76,0,6.31,CL,clear sky
183,nenjiang,49.18,125.22,34.48,75,0,11.54,CN,clear sky
184,haifa,32.82,34.99,69.01,86,100,3.38,IL,overcast clouds
185,arraial do cabo,-22.97,-42.03,73.04,89,37,18.99,BR,scattered clouds
186,bredasdorp,-34.53,20.04,60.8,87,100,3.36,ZA,overcast clouds
187,chicama,-7.84,-79.15,64.71,80,96,3.96,PE,overcast clouds
188,saldanha,-33.01,17.94,59.0,87,100,2.24,ZA,overcast clouds
189,arman,59.7,150.17,35.28,69,0,2.8,RU,clear sky
