,city,lat,lon,temp_max,humidity,clouds,wind,country,description
378,naze,28.37,129.48,78.8,57,75,9.17,JP,broken clouds
379,kaohsiung,22.62,120.31,84.2,70,75,2.24,TW,haze
380,kyabe,9.45,18.94,75.25,60,0,2.93,TD,clear sky
381,jurm,36.86,70.83,45.39,46,100,2.37,AF,overcast clouds
382,bealanana,-14.55,48.73,59.97,91,67,2.95,MG,broken clouds
383,avenal,36.0,-120.13,64.0,29,0,1.99,US,clear sky
384,essenbach,48.62,12.22,37.0,94,79,6.42,DE,broken clouds
385,ubinskoye,55.31,79.68,32.52,95,100,15.55,RU,overcast clouds
386,seoul,37.57,126.98,62.6,48,0,5.82,KR,clear sky
387,caceres,39.52,-6.37,55.0,92,70,3.0,ES,broken clouds
388,tam ky,15.57,108.48,75.2,94,90,38.03,VN,light rain
389,lata,40.16,-8.33,62.01,99,100,5.99,PT,overcast clouds
390,puebloviejo,10.99,-74.28,84.0,77,1,5.99,CO,clear sky
391,iquitos,-3.75,-73.25,76.86,92,100,2.33,PE,overcast clouds
392,tautira,-17.73,-149.15,84.2,70,75,17.22,PF,broken clouds
393,khilok,51.37,110.47,33.76,76,0,3.18,RU,clear sky
394,osoyoos,49.03,-119.45,37.4,59,75,23.04,CA,broken clouds
395,koutsouras,35.03,25.95,64.99,76,3,1.99,GR,clear sky
396,yumen,40.28,97.2,43.65,56,45,6.29,CN,scattered clouds
397,myre,69.1,15.95,37.0,93,44,6.93,NO,scattered clouds
398,chauk,20.88,94.82,82.42,72,27,4.32,MM,scattered clouds
399,mandalgovi,45.76,106.27,36.41,53,0,7.76,MN,clear sky
400,zdvinsk,54.7,78.66,33.37,91,100,10.25,RU,overcast clouds
401,peace river,56.25,-117.29,41.0,56,75,18.34,CA,broken clouds
402,farsund,58.09,6.8,52.0,93,100,23.0,NO,light rain
403,flinders,-34.58,150.86,70.0,70,98,4.0,AU,overcast clouds
404,yarim,14.3,44.38,43.41,51,0,5.46,YE,clear sky
405,kachug,53.96,105.88,31.01,89,0,2.55,RU,clear sky
406,camacha,33.08,-16.33,66.2,72,75,2.24,PT,broken clouds
407,kurchum,48.57,83.65,47.03,55,100,12.35,KZ,light rain
408,kahului,20.89,-156.47,84.2,66,75,2.37,US,light rain
409,biak,-0.91,122.88,84.25,64,78,3.62,ID,broken clouds
410,tongliao,43.61,122.27,43.56,45,0,13.69,CN,clear sky
411,salinopolis,-0.61,-47.36,79.99,84,57,11.16,BR,broken clouds
412,providencia,28.72,-111.58,60.01,37,0,7.0,MX,clear sky
413,henties bay,-22.12,14.28,57.99,89,92,1.45,NA,overcast clouds
414,tshane,-24.02,21.87,78.26,22,0,17.76,BW,clear sky
415,monteagudo,-19.82,-63.98,65.59,70,0,1.45,BO,clear sky
416,venado tuerto,-33.75,-61.97,64.0,73,100,10.0,AR,overcast clouds
417,oranjemund,-28.55,16.43,55.47,91,9,2.71,NA,clear sky
418,high rock,26.62,-78.28,81.25,79,0,15.1,BS,clear sky
419,cockburn town,21.46,-71.14,82.83,79,39,22.59,TC,light rain
420,turayf,31.67,38.66,66.2,24,0,16.11,SA,clear sky
421,lethem,3.38,-59.8,81.21,68,52,6.71,GY,moderate rain
422,saquena,-4.67,-73.52,76.48,91,99,1.72,PE,overcast clouds
423,ostrovnoy,68.05,39.51,44.2,92,100,21.16,RU,overcast clouds
424,nagato,34.38,131.2,66.0,68,75,2.24,JP,broken clouds
425,lima,-12.04,-77.03,62.6,82,40,12.75,PE,scattered clouds
426,tura,25.52,90.22,75.13,80,0,3.15,IN,clear sky
427,leningradskiy,69.38,178.42,19.02,91,0,18.39,RU,clear sky
428,eppstein,50.13,8.4,52.0,76,75,8.05,DE,broken clouds
429,poum,-20.23,164.02,77.41,73,100,13.22,NC,overcast clouds
430,alyangula,-13.85,136.42,91.4,43,37,10.29,AU,light rain
431,maceio,-9.67,-35.74,77.0,83,75,4.7,BR,broken clouds
432,pedro ii,-4.42,-41.46,73.04,81,97,2.89,BR,light rain
433,killarney,52.05,-9.52,44.19,82,78,10.65,IE,broken clouds
434,santa rosa,14.31,121.11,90.0,70,40,6.93,PH,scattered clouds
435,kushmurun,52.45,64.63,24.17,96,99,13.87,KZ,overcast clouds
436,praia,14.92,-23.51,77.0,88,91,17.22,CV,haze
437,kralendijk,12.15,-68.27,83.61,78,17,19.64,BQ,few clouds
438,muleba,-1.84,31.65,66.2,93,75,3.87,TZ,broken clouds
439,ghanzi,-21.57,21.78,74.52,23,0,15.23,BW,clear sky
440,sal rei,16.18,-22.92,78.8,83,0,16.11,CV,clear sky
441,jewar,28.13,77.55,60.8,77,0,3.69,IN,mist
442,rio cuarto,-33.13,-64.35,59.0,73,95,4.0,AR,overcast clouds
443,los llanos de aridane,28.66,-17.92,71.6,64,90,9.17,ES,overcast clouds
444,dubbo,-32.25,148.62,66.2,68,75,11.41,AU,light rain
445,codrington,-38.27,141.97,62.35,72,90,3.56,AU,overcast clouds
446,teya,60.38,92.63,26.13,96,100,10.96,RU,light snow
447,kvareli,41.95,45.82,53.42,60,87,1.52,GE,overcast clouds
448,guantanamo,20.14,-75.21,84.0,74,40,12.75,CU,scattered clouds
449,kestel,40.2,29.21,55.4,93,40,2.26,TR,mist
450,nome,64.5,-165.41,33.8,86,90,4.7,US,overcast clouds
451,ulladulla,-35.35,150.47,64.4,72,75,8.05,AU,broken clouds
452,yaan,7.38,8.57,73.87,84,10,4.34,NG,clear sky
453,nyimba,-14.56,30.81,75.52,39,0,5.93,ZM,clear sky
454,kharp,66.8,65.81,5.22,93,99,3.33,RU,overcast clouds
455,chino valley,34.76,-112.45,44.6,11,1,8.05,US,clear sky
456,tornio,65.85,24.15,44.6,100,90,13.87,FI,overcast clouds
457,porto novo,6.5,2.6,80.6,88,40,11.41,BJ,scattered clouds
458,palu,-0.89,119.87,89.37,52,100,1.86,ID,overcast clouds
459,buraydah,26.33,43.98,60.8,36,0,3.36,SA,clear sky
460,tera,14.01,0.75,77.7,17,0,3.91,NE,clear sky
461,bentiu,9.23,29.83,74.14,79,0,4.03,SS,clear sky
462,college,64.86,-147.8,28.4,86,90,3.36,US,overcast clouds
463,caravelas,-17.71,-39.25,77.0,90,99,10.11,BR,overcast clouds
464,yunyang,33.45,112.71,61.77,54,100,7.9,CN,light rain
465,susanville,40.42,-120.65,48.2,29,1,1.5,US,clear sky
466,klaksvik,62.23,-6.59,44.6,87,97,12.75,FO,overcast clouds
467,puerto baquerizo moreno,-0.9,-89.6,67.98,88,92,8.84,EC,overcast clouds
468,innisfail,-17.53,146.03,84.0,43,59,3.0,AU,broken clouds
469,atambua,-9.11,124.89,86.05,56,98,2.21,ID,overcast clouds
470,gerash,27.67,54.14,55.4,54,0,1.81,IR,clear sky
471,broome,42.25,-75.83,45.0,87,90,4.7,US,light rain
472,ugra,54.78,34.33,42.39,84,0,7.02,RU,clear sky
473,sobolevo,54.43,31.9,42.73,85,0,10.63,RU,clear sky
474,asau,46.43,26.4,50.0,98,79,1.28,RO,broken clouds
475,marseille,43.33,5.5,55.99,93,0,3.36,FR,clear sky
476,andenes,69.31,16.12,35.6,93,69,6.93,NO,broken clouds
477,nantucket,41.28,-70.1,52.0,81,90,9.17,US,overcast clouds
478,dharchula,29.85,80.53,59.02,32,0,3.33,IN,clear sky
479,ostersund,63.18,14.64,42.01,93,100,11.41,SE,light rain
480,ulaangom,49.98,92.07,29.75,85,80,3.71,MN,broken clouds
481,nouadhibou,20.93,-17.03,73.4,64,89,18.34,MR,overcast clouds
482,najran,17.49,44.13,59.0,24,0,1.52,SA,clear sky
483,santa fe,-31.63,-60.7,64.0,60,0,1.99,AR,clear sky
484,nanga eboko,4.68,12.37,68.14,96,100,2.33,CM,overcast clouds
485,traverse city,44.76,-85.62,33.8,69,20,5.82,US,few clouds
486,teguise,29.06,-13.56,69.8,68,90,11.41,ES,overcast clouds
487,araouane,18.9,-3.53,84.02,14,0,4.16,ML,clear sky
488,san juan,-31.54,-68.54,69.31,24,87,9.6,AR,overcast clouds
489,hualmay,-11.1,-77.61,63.12,87,94,8.57,PE,overcast clouds
490,kumi,36.11,128.34,60.8,63,95,3.36,KR,overcast clouds
491,ganzhou,28.82,115.43,69.93,66,19,10.92,CN,few clouds
492,lanxi,29.22,119.48,68.18,71,66,4.85,CN,broken clouds
493,rio gallegos,-51.62,-69.22,50.0,34,0,10.29,AR,clear sky
494,bara,10.37,10.73,73.4,32,0,4.47,NG,clear sky
495,puerto colombia,10.99,-74.95,84.2,79,40,13.87,CO,scattered clouds
496,grand gaube,-20.01,57.66,70.0,80,1,3.0,MU,clear sky
497,presidencia roque saenz pena,-26.79,-60.44,68.32,59,0,7.43,AR,clear sky
498,yuancheng,36.65,107.79,44.78,54,81,2.75,CN,broken clouds
499,yulara,-25.24,130.99,84.2,11,0,3.36,AU,clear sky
500,dumai,1.68,101.45,84.18,70,83,3.56,ID,broken clouds
501,salalah,17.02,54.09,75.2,53,20,2.24,OM,few clouds
502,jalu,29.03,21.55,69.49,45,0,10.36,LY,clear sky
503,san quintin,30.48,-115.95,63.14,49,0,5.75,MX,clear sky
504,darnah,32.77,22.64,73.27,50,4,25.01,LY,clear sky
505,aberdeen,57.14,-2.1,42.8,87,99,5.82,GB,overcast clouds
506,schleswig,54.52,9.55,48.0,88,100,16.8,DE,light rain
507,pemberton,50.32,-122.8,46.0,100,90,4.63,CA,light intensity drizzle
508,nakamura,32.98,132.93,71.37,55,75,2.39,JP,broken clouds
509,fayaoue,-20.65,166.53,77.0,76,13,14.67,NC,light rain
510,saint-pierre,-21.34,55.48,69.8,64,0,4.7,RE,clear sky
511,labuhan,-6.88,112.21,84.87,68,96,7.36,ID,overcast clouds
512,solnechnyy,50.72,136.63,36.63,82,100,3.0,RU,overcast clouds
513,campina verde,-19.54,-49.49,74.32,70,2,2.71,BR,clear sky
514,kerava,60.4,25.11,46.4,100,75,10.29,FI,light rain
515,winnipeg,49.88,-97.15,33.8,86,75,9.17,CA,broken clouds
516,paamiut,61.99,-49.67,27.91,84,100,17.72,GL,overcast clouds
517,mangai,-4.05,19.53,71.37,99,100,3.47,CD,heavy intensity rain
518,cobija,-11.03,-68.77,72.9,91,90,1.66,BO,overcast clouds
519,mchinji,-13.8,32.88,65.32,69,0,5.75,MW,clear sky
520,darque,41.68,-8.77,59.0,100,75,4.12,PT,broken clouds
521,belen,36.49,36.22,68.0,30,0,2.24,TR,clear sky
522,rey bouba,8.67,14.18,71.06,51,41,1.57,CM,scattered clouds
523,muroto,33.28,134.15,68.0,68,75,6.93,JP,broken clouds
524,lilongwe,-13.97,33.79,67.84,64,3,4.41,MW,clear sky
525,poya,-21.35,165.15,82.99,48,99,5.68,NC,overcast clouds
526,cabimas,10.39,-71.44,82.22,77,0,12.41,VE,clear sky
527,nisia floresta,-6.09,-35.21,78.8,78,40,6.93,BR,scattered clouds
528,linqing,36.85,115.71,61.79,32,95,7.27,CN,overcast clouds
529,hatton,6.89,80.6,66.87,92,6,0.29,LK,clear sky
530,bongaree,-27.08,153.16,78.01,69,75,9.17,AU,broken clouds
531,bukoba,-1.33,31.81,66.2,93,75,3.51,TZ,broken clouds
532,cap malheureux,-19.98,57.61,70.0,80,0,3.0,MU,clear sky
533,constantine,36.37,6.61,46.4,87,20,3.36,DZ,few clouds
534,corpus christi,27.8,-97.4,57.2,81,90,12.75,US,overcast clouds
535,tselinnoye,53.08,85.67,36.28,77,98,13.0,RU,overcast clouds
536,marabba,12.35,32.18,83.43,29,0,6.85,SD,clear sky
537,tadine,-21.55,167.88,77.94,70,48,16.2,NC,scattered clouds
538,neuquen,-38.95,-68.06,57.2,36,0,6.93,AR,clear sky
539,dwarka,22.24,68.97,80.06,65,0,9.6,IN,clear sky
540,cozumel,20.51,-86.95,82.4,88,75,17.22,MX,broken clouds
541,comodoro rivadavia,-45.87,-67.5,53.6,58,0,6.93,AR,clear sky
542,rumoi,43.93,141.64,52.05,66,86,5.5,JP,overcast clouds
543,baruun-urt,46.68,113.28,34.99,67,0,9.82,MN,clear sky
544,flin flon,54.77,-101.86,25.88,98,100,6.87,CA,light snow
545,aseri,59.45,26.87,46.87,88,100,16.15,EE,moderate rain
546,portland,45.52,-122.68,53.01,79,0,1.43,US,clear sky
547,prieska,-29.66,22.75,69.15,22,57,3.4,ZA,broken clouds
548,kawalu,-7.38,108.21,78.89,80,96,3.09,ID,light rain
549,indian head,38.6,-77.16,61.0,95,89,5.68,US,overcast clouds
550,mon,26.75,95.1,72.73,81,4,0.83,IN,clear sky
551,salamiyah,35.01,37.05,72.54,20,97,14.27,SY,overcast clouds
552,muli,2.92,73.57,82.76,77,100,13.69,MV,heavy intensity rain
553,aykhal,66.0,111.5,-9.17,89,68,4.07,RU,broken clouds
554,verkh-suetka,53.3,80.05,33.12,93,100,19.06,RU,overcast clouds
555,ngorongoro,-3.24,35.49,49.77,100,81,5.57,TZ,broken clouds
556,marawi,8.0,124.29,82.99,76,48,3.0,PH,scattered clouds
557,luderitz,-26.65,15.16,56.3,80,0,10.8,NA,clear sky
558,unterseen,46.69,7.85,48.0,93,75,2.24,CH,broken clouds
559,santa ana,33.75,-117.87,70.0,37,40,10.29,US,smoke
560,alenquer,-1.94,-54.74,78.8,94,0,1.63,BR,clear sky
561,mahajanga,-15.72,46.32,71.6,78,20,2.24,MG,few clouds
562,arlit,18.74,7.39,76.17,17,0,6.89,NE,clear sky
